a	0x0061
A	0x0041
b	0x0062
B	0x0042
c	0x0063
C	0x0043
d	0x0064
D	0x0044
e	0x0065
E	0x0045
f	0x0066
F	0x0046
g	0x0067
G	0x0047
h	0x0068
H	0x0048
i	0x0069
I	0x0049
j	0x006A
J	0x004A
k	0x006B
K	0x004B
l	0x006C
L	0x004C
m	0x006D
M	0x004D
n	0x006E
N	0x004E
o	0x006F
O	0x004F
p	0x0070
P	0x0050
q	0x0071
Q	0x0051
r	0x0072
R	0x0052
s	0x0073
S	0x0053
t	0x0074
T	0x0054
u	0x0075
U	0x0055
v	0x0076
V	0x0056
w	0x0077
W	0x0057
x	0x0078
X	0x0058
y	0x0079
Y	0x0059
z	0x007A
Z	0x005A
'	0x0027	
-	0x002D	
&	0x0026	
.	0x002E	
/	0x002F	
